Dossier;Naam;Voornaam;Geboortedatum;Overlijdensdatum;Polis;Domein - Omschrijving;Polistype - Omschrijving;Product Template Name;Product Template ID;E-mail;Maatschappij;Natuurlijk/Rechtsp - Omschrijving
92/02;Sels;Matthias;24/03/1999;;120498403;Leven en belegging;Individueel Leven i.v.m. Beleggingsfondsen (Tak 23);Leven en belegging Individueel Leven i.v.m. Beleggingsfondsen (Tak 23) NN INSURANCE BELGIUM;Leven en belegging Individueel Leven i.v.m. Beleggingsfondsen (Tak 23) NN INSURANCE BELGIUM;matthias.sels@qollabi.com;NN INSURANCE BELGIUM;Natuurlijk persoon
92/02;Sels;Matthias;24/03/1999;;2166207;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;matthias.sels@qollabi.com;DAS;Natuurlijk persoon
92/02;Sels;Matthias;24/03/1999;;5502060923;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life VIVIUM;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life VIVIUM;matthias.sels@qollabi.com;VIVIUM;Natuurlijk persoon
92/02;Sels;Matthias;24/03/1999;;5503044612;Leven en belegging;Individueel Leven i.v.m. Beleggingsfondsen (Tak 23);Leven en belegging Individueel Leven i.v.m. Beleggingsfondsen (Tak 23) VIVIUM;Leven en belegging Individueel Leven i.v.m. Beleggingsfondsen (Tak 23) VIVIUM;matthias.sels@qollabi.com;VIVIUM;Natuurlijk persoon
92/02;Sels;Matthias;24/03/1999;;5J07002;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;matthias.sels@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
92/02;Sels;Matthias;24/03/1999;;7L28232;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;matthias.sels@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
92/02;Sels;Matthias;24/03/1999;;BCID00207801;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) ALLIANZ;Leven en belegging Individueel Leven Klassiek (Tak 21) ALLIANZ;matthias.sels@qollabi.com;ALLIANZ;Natuurlijk persoon
92/02;Sels;Matthias;24/03/1999;;I190000665;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AFER EUROPE;Leven en belegging Individueel Leven Klassiek (Tak 21) AFER EUROPE;matthias.sels@qollabi.com;AFER EUROPE;Natuurlijk persoon
101/00;Wouters;Roland;19/04/1962;;1029496;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;roland.wouters@qollabi.com;DAS;Natuurlijk persoon
101/00;Wouters;Roland;19/04/1962;;208039081;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;roland.wouters@qollabi.com;DKV Belgium;Natuurlijk persoon
101/00;Wouters;Roland;19/04/1962;;38000077965;Multi-takken;Multi-tak (Particulieren);Multi-takken Multi-tak (Particulieren) ALLIANZ  PARTNERS;Multi-takken Multi-tak (Particulieren) ALLIANZ  PARTNERS;roland.wouters@qollabi.com;ALLIANZ  PARTNERS;Natuurlijk persoon
101/00;Wouters;Roland;19/04/1962;;7109416;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;roland.wouters@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
101/00;Wouters;Roland;19/04/1962;;7884782;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;roland.wouters@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
101/00;Wouters;Roland;19/04/1962;;8B73833;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;roland.wouters@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
101/02;Apex Holding;;;;00A2346;BA andere dan particulieren;BA Beroep (Intellectuele, Vrije, Commerciële);BA andere dan particulieren BA Beroep (Intellectuele, Vrije, Commerciële) PROTECT NV;BA andere dan particulieren BA Beroep (Intellectuele, Vrije, Commerciële) PROTECT NV;roland.wouters@qollabi.com;PROTECT NV;Rechtspersoon
101/02;Apex Holding;;;;1686997;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;roland.wouters@qollabi.com;DAS;Rechtspersoon
101/02;Apex Holding;;;;3780507;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;roland.wouters@qollabi.com;BALOISE INSURANCE;Rechtspersoon
101/02;Apex Holding;;;;5V01760;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;roland.wouters@qollabi.com;BALOISE INSURANCE;Rechtspersoon
101/02;Apex Holding;;;;9724648;Arbeidsongevallen en collectieve verzekeringen;Arbeidsongevallen (Wet);Arbeidsongevallen en collectieve verzekeringen Arbeidsongevallen (Wet) BALOISE INSURANCE;Arbeidsongevallen en collectieve verzekeringen Arbeidsongevallen (Wet) BALOISE INSURANCE;roland.wouters@qollabi.com;BALOISE INSURANCE;Rechtspersoon
101/02;Apex Holding;;;;CS00466276;Auto;Bromfietsen;Auto Bromfietsen BALOISE(ex-Fidea);Auto Bromfietsen BALOISE(ex-Fidea);roland.wouters@qollabi.com;BALOISE(ex-Fidea);Rechtspersoon
102/01;Desmet;Sofie;13/12/1978;;1256043;Individueel;Hospitalisatie;Individueel Hospitalisatie AG INSURANCE;Individueel Hospitalisatie AG INSURANCE;sofie.desmet@qollabi.com;AG INSURANCE;Natuurlijk persoon
104/00;Peters;Patrick;29/04/1960;;888086;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;patrick.peters2@qollabi.com;DAS;Natuurlijk persoon
104/00;Peters;Patrick;29/04/1960;;1247237;Individueel;Hospitalisatie;Individueel Hospitalisatie AG INSURANCE;Individueel Hospitalisatie AG INSURANCE;patrick.peters2@qollabi.com;AG INSURANCE;Natuurlijk persoon
104/00;Peters;Patrick;29/04/1960;;2227773;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;patrick.peters2@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
104/00;Peters;Patrick;29/04/1960;;2227774;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;patrick.peters2@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
104/00;Peters;Patrick;29/04/1960;;2672561;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;patrick.peters2@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
104/00;Peters;Patrick;29/04/1960;;7950409;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;patrick.peters2@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
104/02;Renard;Kim;22/02/1990;;8390469;Individueel;Hospitalisatie;Individueel Hospitalisatie AG INSURANCE;Individueel Hospitalisatie AG INSURANCE;kim.renard@qollabi.com;AG INSURANCE;Natuurlijk persoon
105/00;Pauwels;Dominique;21/02/1972;;1170039;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;dominique.pauwels@qollabi.com;DAS;Natuurlijk persoon
105/00;Pauwels;Dominique;21/02/1972;;2000546;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;dominique.pauwels@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
105/00;Pauwels;Dominique;21/02/1972;;5704830;Auto;Bromfietsen;Auto Bromfietsen BALOISE INSURANCE;Auto Bromfietsen BALOISE INSURANCE;dominique.pauwels@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
105/00;Pauwels;Dominique;21/02/1972;;66215516;Individueel;Persoonlijke Ongevallen algemeen;Individueel Persoonlijke Ongevallen algemeen AG INSURANCE;Individueel Persoonlijke Ongevallen algemeen AG INSURANCE;dominique.pauwels@qollabi.com;AG INSURANCE;Natuurlijk persoon
105/00;Pauwels;Dominique;21/02/1972;;816230592;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;dominique.pauwels@qollabi.com;AXA;Natuurlijk persoon
105/01;Renard;Kurt;02/01/1970;;5J77399;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;kurt.renard@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
105/01;Renard;Kurt;02/01/1970;;65029927;Arbeidsongevallen en collectieve verzekeringen;AO huispersoneel;Arbeidsongevallen en collectieve verzekeringen AO huispersoneel AG INSURANCE;Arbeidsongevallen en collectieve verzekeringen AO huispersoneel AG INSURANCE;kurt.renard@qollabi.com;AG INSURANCE;Natuurlijk persoon
105/01;Renard;Kurt;02/01/1970;;7H19470;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;kurt.renard@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
107/00;Van Dyck;Andre;03/04/1933;;1310016;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;;DAS;Natuurlijk persoon
107/00;Van Dyck;Andre;03/04/1933;;43862714;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;;AG INSURANCE;Natuurlijk persoon
107/00;Van Dyck;Andre;03/04/1933;;602283733;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;;AXA;Natuurlijk persoon
107/00;Van Dyck;Andre;03/04/1933;;7861819;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;;BALOISE INSURANCE;Natuurlijk persoon
108/00;De Smedt;Hugette;30/03/1944;;914117;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;hugette.desmedt@qollabi.com;DAS;Natuurlijk persoon
108/00;De Smedt;Hugette;30/03/1944;;48924595;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;hugette.desmedt@qollabi.com;AG INSURANCE;Natuurlijk persoon
108/00;De Smedt;Hugette;30/03/1944;;60323221;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AG INSURANCE;BA particulieren BA Privéleven AG INSURANCE;hugette.desmedt@qollabi.com;AG INSURANCE;Natuurlijk persoon
111/00;Peeraer;Robert;15/03/1957;;2520422;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;robert.peeraer@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
111/00;Peeraer;Robert;15/03/1957;;7102063;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;robert.peeraer@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
111/00;Peeraer;Robert;15/03/1957;;NCN200386738;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen ALLIANZ;Brand eenvoudige risico's Brand ER - woonhuizen ALLIANZ;robert.peeraer@qollabi.com;ALLIANZ;Natuurlijk persoon
112/00;Leclercq;Mariette;21/09/1929;;46516706;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;;AG INSURANCE;Natuurlijk persoon
113/00;Wouters;Ronald;22/11/1959;;12442482;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;ronald.wouters@qollabi.com;AG INSURANCE;Natuurlijk persoon
120/00;Hendrickx;Willy;25/06/1942;;2537314;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;willy.hendrickx@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
120/00;Hendrickx;Willy;25/06/1942;;44012080;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;willy.hendrickx@qollabi.com;AG INSURANCE;Natuurlijk persoon
120/00;Hendrickx;Willy;25/06/1942;;602495631;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;willy.hendrickx@qollabi.com;AXA;Natuurlijk persoon
120/00;Hendrickx;Willy;25/06/1942;;ACA001432191;BA particulieren;BA Privéleven;BA particulieren BA Privéleven ALLIANZ;BA particulieren BA Privéleven ALLIANZ;willy.hendrickx@qollabi.com;ALLIANZ;Natuurlijk persoon
120/00;Hendrickx;Willy;25/06/1942;;ACA001565937;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden ALLIANZ;Individueel Verkeer & Inzittenden ALLIANZ;willy.hendrickx@qollabi.com;ALLIANZ;Natuurlijk persoon
120/01;Renard;Mariette;;;1943929;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;;AG INSURANCE;Natuurlijk persoon
123/00;Sels;Guy;10/05/1953;;974694;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;guy.sels@qollabi.com;DAS;Natuurlijk persoon
123/00;Sels;Guy;10/05/1953;;217525761;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;guy.sels@qollabi.com;DKV Belgium;Natuurlijk persoon
123/00;Sels;Guy;10/05/1953;;46756351;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;guy.sels@qollabi.com;AG INSURANCE;Natuurlijk persoon
123/00;Sels;Guy;10/05/1953;;602430964;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;guy.sels@qollabi.com;AXA;Natuurlijk persoon
123/00;Sels;Guy;10/05/1953;;7259715;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;guy.sels@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
123/01;Van Hoeck;Vera;15/07/1954;;5212439;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;guy.sels@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
124/00;Thijs;Jozef;14/06/1951;;814746;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;jozef.thijs@qollabi.com;DAS;Natuurlijk persoon
124/00;Thijs;Jozef;14/06/1951;;2376310;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;jozef.thijs@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
124/00;Thijs;Jozef;14/06/1951;;46956108;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;jozef.thijs@qollabi.com;AG INSURANCE;Natuurlijk persoon
124/00;Thijs;Jozef;14/06/1951;;622721895;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;jozef.thijs@qollabi.com;AXA;Natuurlijk persoon
124/00;Thijs;Jozef;14/06/1951;;7790837;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;jozef.thijs@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
125/01;Moons;Angele;19/06/1948;;48834218;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;;AG INSURANCE;Natuurlijk persoon
127/01;Devos;Marijke;16/03/1959;;A101087;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE(ex-Fidea);Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE(ex-Fidea);;BALOISE(ex-Fidea);Natuurlijk persoon
128/01;Mertens;Marie;23/10/1940;;802186637;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;;AXA;Natuurlijk persoon
131/00;Devos;Robert;13/05/1948;13/07/2025;44160168;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - handelshuizen AG INSURANCE;dominique.pauwels@qollabi.com;AG INSURANCE;Natuurlijk persoon
135/00;Leclercq;Christian;11/08/1953;;1120541;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;christian.leclercq@qollabi.com;DAS;Natuurlijk persoon
135/00;Leclercq;Christian;11/08/1953;;3D79135;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;christian.leclercq@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
135/00;Leclercq;Christian;11/08/1953;;602530334;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;christian.leclercq@qollabi.com;AXA;Natuurlijk persoon
135/00;Leclercq;Christian;11/08/1953;;64260060;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AG INSURANCE;BA particulieren BA Privéleven AG INSURANCE;christian.leclercq@qollabi.com;AG INSURANCE;Natuurlijk persoon
136/01;Van Hoeck;Angele;03/01/1939;;811213;Rechtsbijstand;Rechtsbijstand Privéleven (eventueel met Auto);Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) DAS;Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) DAS;angele.vanhoeck@qollabi.com;DAS;Natuurlijk persoon
136/01;Van Hoeck;Angele;03/01/1939;;10215526;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;angele.vanhoeck@qollabi.com;AG INSURANCE;Natuurlijk persoon
136/01;Van Hoeck;Angele;03/01/1939;;43848788;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;angele.vanhoeck@qollabi.com;AG INSURANCE;Natuurlijk persoon
136/01;Van Hoeck;Angele;03/01/1939;;621838303;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;angele.vanhoeck@qollabi.com;AXA;Natuurlijk persoon
136/01;Van Hoeck;Angele;03/01/1939;;ACA001363976;BA particulieren;BA Privéleven;BA particulieren BA Privéleven ALLIANZ;BA particulieren BA Privéleven ALLIANZ;angele.vanhoeck@qollabi.com;ALLIANZ;Natuurlijk persoon
137/00;Desmet;Mark;20/03/1969;;1118430;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;mark.desmet@qollabi.com;DAS;Natuurlijk persoon
137/00;Desmet;Mark;20/03/1969;;3547997;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;mark.desmet@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
137/00;Desmet;Mark;20/03/1969;;5B15927;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;mark.desmet@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
137/00;Desmet;Mark;20/03/1969;;7F01057;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;mark.desmet@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
137/00;Desmet;Mark;20/03/1969;;7M54363;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;mark.desmet@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
137/01;Hendrickx;Mila;22/07/1970;;5K32863;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;mark.desmet@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
138/01;Martens;Annick;30/04/1969;;3568847;Rechtsbijstand;Rechtsbijstand Privéleven (eventueel met Auto);Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) EUROMEX;Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) EUROMEX;annick.martens@qollabi.com;EUROMEX;Natuurlijk persoon
138/01;Martens;Annick;30/04/1969;;624106344;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;annick.martens@qollabi.com;AXA;Natuurlijk persoon
138/01;Martens;Annick;30/04/1969;;817080581;Multi-takken;Gegroepeerde gezinspolissen Brand + andere (BA Gezin, ...);Multi-takken Gegroepeerde gezinspolissen Brand + andere (BA Gezin, ...) AXA;Multi-takken Gegroepeerde gezinspolissen Brand + andere (BA Gezin, ...) AXA;annick.martens@qollabi.com;AXA;Natuurlijk persoon
138/01;Martens;Annick;30/04/1969;;8692408;Individueel;Hospitalisatie;Individueel Hospitalisatie AG INSURANCE;Individueel Hospitalisatie AG INSURANCE;annick.martens@qollabi.com;AG INSURANCE;Natuurlijk persoon
141/00;Coppens;Guy;21/06/1971;;CIC1288001;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE(ex-Fidea);Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE(ex-Fidea);;BALOISE(ex-Fidea);Natuurlijk persoon
141/01;Stevens;Christel;09/07/1972;;CIC1288000;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE(ex-Fidea);Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE(ex-Fidea);;BALOISE(ex-Fidea);Natuurlijk persoon
143/00;Michiels;Anne;17/12/1963;;982285;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;anne.michiels@qollabi.com;DAS;Natuurlijk persoon
143/00;Michiels;Anne;17/12/1963;;600491436;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;anne.michiels@qollabi.com;AXA;Natuurlijk persoon
145/00;Willems;Andre;23/10/1946;;46577464;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;;AG INSURANCE;Natuurlijk persoon
149/01;Verhoeven;Simonne;;;2248286;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;;BALOISE INSURANCE;Natuurlijk persoon
155/01;Renard;Cindy;06/06/1977;;2211684;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;cindy.renard@qollabi.com;DAS;Natuurlijk persoon
